Symbol	Test	Control
p_10006_1	"large airways, smoker, lung; tissue"	"large airways, non-smoker, lung"
p_10006_2	"small airways, chronic obstructive pulmonary disease (COPD), lung; tissue"	"small airways, non-smoker, lung"
p_10006_3	"small airways, smoker, lung; tissue"	"small airways, non-smoker, lung"
p_10006_4	"small airways, early-chronic obstructive pulmonary disease (COPD), lung; tissue"	"small airways, non-smoker, lung"
p_10041_1	"Healthy subject, 8 weeks of relaxation response practice"	"healthy subject, No relaxation response practice"
p_10041_2	Long-term practitioner of daily relaxation response practice	"healthy subject, No relaxation response practice"
p_10046_2	"MCF10A cell, co-cultured with breast cancer tissue"	"MCF10A cell, control"
p_10046_3	"MCF10A, with breast cancer fibroblast treated"	"MCF10A, with normal breast fibroblast"
p_10063_1	"MSK-Leuk1 cells, Tobacco Smoke treated, 0.5h"	"MSK-Leuk1 cells, control, 0.5h"
p_10063_2	"MSK-Leuk1 cells, Tabacco Smoke treated, 3h"	"MSK-Leuk1 cells, control, 3h"
p_10063_3	"MSK-Leuk1 cells, Tabacco Smoke treated, 6h"	"MSK-Leuk1 cells, control, 6h"
p_10063_4	"MSK-Leuk1 cells, Tabacco Smoke treated, 12h"	"MSK-Leuk1 cells, control, 12h"
p_10063_5	"MSK-Leuk1 cells, Tabacco Smoke treated, 24h"	"MSK-Leuk1 cells, control, 24h"
p_10070_1	"MCF10A cell, Transwell treated, 1d"	"MCF10A cell, control"
p_10070_2	"MCF10A cell, Transwell treated, 2d"	"MCF10A cell, control"
p_10070_3	"MCF10A cell, Transwell treated, 3d"	"MCF10A cell, control"
p_10138_1	"CLL lymphocytes, Chronic lymphocytic leukemia, progressive disease"	"CLL lymphocytes, Chronic lymphocytic leukemia, stable disease"
p_10147_1	"pDC, IL-3 + p17 treated"	"pDC, IL-3 treated"
p_10147_2	"pDC, IL-3 + CpG treated"	"pDC, IL-3 treated"
p_10178_1	CD8+ CCR7- NKp80+ T cells	CD8+ CCR7- NKp80- T cells
p_10196_1	"MCF10A, YAP-overexpressing cells"	"MCF10A, control"
p_10232_1	"Jurkat cell line, cyclin T1 knockdown, PMA treated"	"Jurkat cell line, control shRNA-transduced, PMA treated"
p_10234_1	"MM6 cell line, cyclin T1 knockdown, LPS treated"	"Jurkat cell line, control shRNA-transduced, Mock treated"
p_10245_1	"NSCLC, adenocarcinoma"	"NSCLC, squamous cell carcinoma"
p_10270_1	"Breast epithelial cells treated with 17-beta estradiol (E2), progesterone (PG)"	"Breast epithelial cells, 17-beta estradiol (E2)"
